"","Binomial","Common.Name","Species.Status","Domesticated","Class","Order","Family","Mass.g","Mass.Method","Mass.Method.Reliability","Mass.Notes","Mass.Reference","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat","Guild.only.Herbivory","Guild.w.Omnivory","Diet.Method","Diet.Method.Reliability","Diet.Notes","Diet.Reference","Fermentation.Type","Fermentation.Efficiency","Fermentation.Type.Method","Fermentation.Type.Method.Reliability","Fermentation.Type.Notes","Fermentation.Type.Reference","Limb.Morphology","Limb.Morphology.Method","Limb.Morphology.Method.Reliability","Limb.Morphology.Notes","Limb.Morphology.Reference","Habitat.Aquatic","Habitat.Terrestrial","Habitat.Arboreal","Habitat.Categorical","Habitat.Method","Habitat.Method.Reliability","Habitat.Notes","Habitat.Reference"
"482","Sthenurus andersoni","Strong-tailed Kangaroo","Extinct before 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",72000,"Method unknown",0,"Primary source inaccessible","Johnson 2006 Australias Mammal Extinctions",1,3,0,"Browser","Browser","Observed low sample size (1-5) fossil evidence (dental wear microwear and proxy isotopes) (Genus); Proxy isotopes (C13, Zn, Sr) (Genus)",1,"No species-level empirical data found. DeSantis et al. 2017 used a single Genus-level sample for isotopic and microwear analysis, which suggested a browsing diet. Grocke 1997 analyzed C13 isotopes from several locations at the Genus level and concluded that in most locations Sthenurus were consuming C3 vegetation. In one location, C4 was more dominant, but could have been Atriplex. Note that Nedin 1991 Lethaia also analyzed ratios of Zinc and Strontium and concluded that this genus were leaf-eaters. It is unclear how reliable that method is.","DeSantis et al. 2017 Paleobiology; Nedin 1991 Lethaia; Grocke 1997 Australian Journal of Botany","Foregut Non-ruminant",2,"Inferred from Family",2,"Extinct kangaroo fermentation systems are unknown, but presumed to be similar to extant kangaroos. Extant kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"Monodactyl hoof-like unguligrade, convergent on 'open-plains horses', suggesting a cursorial form of locomotion. Functional morphology of the forelimbs (Janis et al. 2020) suggests that this group did not bear weight on their forearms and were likely strictly bipedal, even at slow speeds, unlike modern, extant kangaroos which become quadrupedal or pentapedal.","Prideaux et al. 2009 PNAS; Janis et al. 2020 Journal of Mammalian Evolution",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Inhabitants of dense, closed canopy woodlands, no indication of aquatic habitat usage","DeSantis et al. 2017 Paleobiology"
"483","Sthenurus atlas","Strong-tailed Kangaroo","Extinct before 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",150000,"Method unknown",0,"Primary source inaccessible","Johnson 2006 Australias Mammal Extinctions",1,3,0,"Browser","Browser","Observed low sample size (1-5) fossil evidence (dental wear microwear and proxy isotopes) (Genus); Proxy isotopes (C13, sZn, Sr) (Genus)",1,"No species-level empirical data found. DeSantis et al. 2017 used a single Genus-level sample for isotopic and microwear analysis, which suggested a browsing diet. Grocke 1997 analyzed C13 isotopes from several locations at the Genus level and concluded that in most locations Sthenurus were consuming C3 vegetation. In one location, C4 was more dominant, but could have been Atriplex. Note that Nedin 1991 Lethaia also analyzed ratios of Zinc and Strontium and concluded that this genus were leaf-eaters. It is unclear how reliable that method is.","DeSantis et al. 2017 Paleobiology; Nedin 1991 Lethaia; Grocke 1997 Australian Journal of Botany","Foregut Non-ruminant",2,"Inferred from Family",2,"Extinct kangaroo fermentation systems are unknown, but presumed to be similar to extant kangaroos. Extant kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"Monodactyl hoof-like unguligrade, convergent on 'open-plains horses', suggesting a cursorial form of locomotion. Functional morphology of the forelimbs (Janis et al. 2020) suggests that this group did not bear weight on their forearms and were likely strictly bipedal, even at slow speeds, unlike modern, extant kangaroos which become quadrupedal or pentapedal.","Prideaux et al. 2009 PNAS; Janis et al. 2020 Journal of Mammalian Evolution",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Inhabitants of dense, closed canopy woodlands, no indication of aquatic habitat usage","DeSantis et al. 2017 Paleobiology"
"484","Sthenurus stirlingi","Strong-tailed Kangaroo","Extinct before 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",173000,"Method unknown",0,"Primary source inaccessible","Johnson 2006 Australias Mammal Extinctions",1,3,0,"Browser","Browser","Observed low sample size (1-5) fossil evidence (dental wear microwear and proxy isotopes) (Genus); Proxy isotopes (C13, sZn, Sr) (Genus)",1,"No species-level empirical data found. DeSantis et al. 2017 used a single Genus-level sample for isotopic and microwear analysis, which suggested a browsing diet. Grocke 1997 analyzed C13 isotopes from several locations at the Genus level and concluded that in most locations Sthenurus were consuming C3 vegetation. In one location, C4 was more dominant, but could have been Atriplex. Note that Nedin 1991 Lethaia also analyzed ratios of Zinc and Strontium and concluded that this genus were leaf-eaters. It is unclear how reliable that method is.","DeSantis et al. 2017 Paleobiology; Nedin 1991 Lethaia; Grocke 1997 Australian Journal of Botany","Foregut Non-ruminant",2,"Inferred from Family",2,"Extinct kangaroo fermentation systems are unknown, but presumed to be similar to extant kangaroos. Extant kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"Monodactyl hoof-like unguligrade, convergent on 'open-plains horses', suggesting a cursorial form of locomotion. Functional morphology of the forelimbs (Janis et al. 2020) suggests that this group did not bear weight on their forearms and were likely strictly bipedal, even at slow speeds, unlike modern, extant kangaroos which become quadrupedal or pentapedal.","Prideaux et al. 2009 PNAS; Janis et al. 2020 Journal of Mammalian Evolution",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Inhabitants of dense, closed canopy woodlands, no indication of aquatic habitat usage","DeSantis et al. 2017 Paleobiology"
"485","Sthenurus tindalei","Strong-tailed Kangaroo","Extinct before 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",127000,"Method unknown",0,"Primary source inaccessible","Johnson 2006 Australias Mammal Extinctions",1,3,0,"Browser","Browser","Observed low sample size (1-5) fossil evidence (dental wear microwear and proxy isotopes) (Genus); Proxy isotopes (C13, sZn, Sr) (Genus)",1,"No species-level empirical data found. DeSantis et al. 2017 used a single Genus-level sample for isotopic and microwear analysis, which suggested a browsing diet. Grocke 1997 analyzed C13 isotopes from several locations at the Genus level and concluded that in most locations Sthenurus were consuming C3 vegetation. In one location, C4 was more dominant, but could have been Atriplex. Note that Nedin 1991 Lethaia also analyzed ratios of Zinc and Strontium and concluded that this genus were leaf-eaters. It is unclear how reliable that method is.","DeSantis et al. 2017 Paleobiology; Nedin 1991 Lethaia; Grocke 1997 Australian Journal of Botany","Foregut Non-ruminant",2,"Inferred from Family",2,"Extinct kangaroo fermentation systems are unknown, but presumed to be similar to extant kangaroos. Extant kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"Monodactyl hoof-like unguligrade, convergent on 'open-plains horses', suggesting a cursorial form of locomotion. Functional morphology of the forelimbs (Janis et al. 2020) suggests that this group did not bear weight on their forearms and were likely strictly bipedal, even at slow speeds, unlike modern, extant kangaroos which become quadrupedal or pentapedal.","Prideaux et al. 2009 PNAS; Janis et al. 2020 Journal of Mammalian Evolution",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Inhabitants of dense, closed canopy woodlands, no indication of aquatic habitat usage","DeSantis et al. 2017 Paleobiology"
"486","Stockoceros conklingi","","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Antilocapridae",51000,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",1,3,0,"Browser","Browser","Proxy isotopes (C13) (Genus); expert opinion",1,"Koch & Barnosky (2006) report report C13 values of -11.6, suggesting a browsing diet. Bravo-Cuevas et al. 2013 suggests the species is a mixed feeder with a preference for browsing, like Capromeryx minor, but provide no evidence.","Koch and Barnosky 2006 Annual Review of Ecology, Evolution, and Systematics; Bravo-Cuevas et al. 2013 Revista Mexicana de Ciencias Geologicas","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",0,"No evidence that this species, or any relative, substantially uses arboreal or aquatic habitats","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"487","Struthio asiaticus","Asian Ostrich","Extinct before 1500 CE",0,"Aves","Struthioniformes","Struthionidae",111000,"Inferred from relative of suggested similar size",0,"We assume its size was similar to that of Struthio camelus","HerbiTraits",3,3,0,"Mixed Feeder","Mixed Feeder","Inferred from Genus",0,"No empirical information found, but likely similar to the diet of S. camelus, of which S. asiaticus is sometimes treated as a subspecies.","","Hindgut Colon",1,"Observed Genus",3,"Ostriches possess a horse-like functional digestive morphology with an enlarged colon and caecum, and indeed possess fatty acid production rates comparable to many wild African herbivores (Sales 2006). It should be noted that all ratites lack crops (Sales 2006)","Sales 2006 Avian and Poultry Biology Reviews","Digitigrade","Observed Genus",3,"Ostriches are the only birds with two-toed feet, likely an adaption to cursoriality.","Gill 2001 Ornithology",0,1,0,"Terrestrial","Observed habitat use (Genus)",3,"Ostriches are terrestrial animals of open, arid habitats. The Asian ostrich roamed the Indian subcontinent up to southern Siberia.","Birds of the World 2020 Cornell Lab of Ornithology"
"488","Struthio camelus","Ostrich","Extant",0,"Aves","Struthioniformes","Struthionidae",111000,"Observed measured body mass",3,"This estimate is based on 13 individuals of unknown sex. We collected this value from Dunning 2008 CRC Handbook of Avian Body Masses. This book is a collection of published literature about bird masses and is not the primary source of these estimates.","Wilman et al. 2014 Ecology; Dunning 2008 CRC Handbook of Avian Body Masses",3,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Ostriches are generalist herbivores that prefer green grasses and forbs, but will switch to consume leaves, flowers, and fruits of succulents and woody plants during the dry season (Milton et al. 1994) Ostriches in the Namib desert will pluck entire grasses out of the ground, apparently capable of digesting their abrasive roots in their gizzards, which unlike mammalian teeth will not wear out from consuming such abrasive food stuffs (Williams et al. 1993).","Birds of the World 2020 Cornell Lab of Ornithology; Williams et al. 1993 Ecology; Milton et al. 1994 The Journal of Wildlife Management;","Hindgut Colon",1,"Observed Species",3,"Ostriches possess a horse-like functional digestive morphology with an enlarged colon and caecum, and indeed possess fatty acid production rates comparable to many wild African herbivores (Sales 2006).  It should be noted that all ratites lack crops (Sales 2006)","Sales 2006 Avian and Poultry Biology Reviews","Digitigrade","Observed Genus",3,"Ostriches are the only birds with two-toed feet, likely an adaption to cursoriality.","Gill 2001 Ornithology",0,1,0,"Terrestrial","Observed habitat use",3,"Ostriches are terrestrial animals of open, arid habitats.","Birds of the World 2020 Cornell Lab of Ornithology"
"489","Struthio molybdophanes","Somali ostrich","Extant",0,"Aves","Struthioniformes","Struthionidae",105000,"Expert Opinion",0,"Similar sized to S. camelus, but trending slightly smaller. In domestic conditions average at 105 kg. The source provides no reference.","Davids 2011 Thesis",3,3,0,"Mixed Feeder","Mixed Feeder","Inferred from Genus",0,"No empirical information found, but likely similar to the diet of S. camelus, of which S. molybdophanes is sometimes treated as a subspecies.","","Hindgut Colon",1,"Observed Species",3,"Ostriches possess a horse-like functional digestive morphology with an enlarged colon and caecum, and indeed possess fatty acid production rates comparable to many wild African herbivores (Sales 2006).  It should be noted that all ratites lack crops (Sales 2006)","Sales 2006 Avian and Poultry Biology Reviews","Digitigrade","Observed Genus",3,"Ostriches are the only birds with two-toed feet, likely an adaption to cursoriality.","Gill 2001 Ornithology",0,1,0,"Terrestrial","Observed habitat use",3,"Ostriches are terrestrial animals of open, arid habitats.","Birds of the World 2020 Cornell Lab of Ornithology"
"490","Sus ahoenobarbus","Palawan Bearded Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",56749.7,"Extant species (method unknown, presume measured)",1,"Comparison species is Sus barbatus","Faurby et al. 2018 Ecology",0,3,2,"Browser","Omnivore","Expert Opinion",0,"Little empirical information. Wilson and Mittermeier 2011 surmise that its diet is similar to the bearded pig of Borneo (S. barbatus), which consists of roots, fungi, invertebrates, and many plants, particularly fruit.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This species occurs in primary and secondary forests, from lands to mid-montane rainforests as well as drier open woodlands and grasslands. No indication of aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"491","Sus barbatus","Bearded Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",70500,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",1,3,2,"Browser","Omnivore","Observed fecal analysis; Observed foraging",3,"Consumate generalists of nearly anything. Wilson and Mittermeier 2011: 'It is almost easier to state what they will not eat'. However, the documented vegetation is principally browse or fruit or nut mast. They likely consume some graminoids, but given their habitat they are likely primarily browsers.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A habitat generalist but with preference for swamp forests, according to Pacini and Harper 2008. Herds of up to 3,000 individuals will make periodic migrations (every 2-4 years) where they swim across rivers and even into the ocean. During the rainy season they may move out of swampland habitats onto higher ground. Wilson and Mittermeier describe them more generally, as using lowland and hill forests, riverbanks, estuarine swamps, secondary forests, beaches, plantations, all sorts of plantations. They appear to move to track fruiting events. Given that aquatic habitat usage is opportunistic, we will mark this as a 0 for aquatic.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Pacini and Harper 2008 Tropical stream ecology"
"492","Sus brachgnathus","","Extinct before 1500 CE",0,"Mammalia","Cetartiodactyla","Suidae",38125,"Inferred from relative of suggested similar size",0,"Comparison species unknown. Not specified in Faurby et al. 2018","Faurby et al. 2018 Ecology",1,3,2,"Browser","Omnivore","Imputed",0,"No empirical evidence found.","","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Inferred from Genus; Inferred from absence of evidence",0,"No evidence of aquatic habitat use in this species or extant relatives","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"493","Sus bucculentus","Heude's pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",101052.1,"Extant species (method unknown, presume measured)",0,"Trait assumed similar to Sus scrofa. ","Smith et al. 2003 Ecology",1,3,2,"Browser","Omnivore","Observed fecal analysis; Observed foraging",3,"Trait assumed similar to Sus scrofa. Wild boar consume almost anything: browse, nuts, seeds, fruit, carrion, animals, tubers, roots, and some grass.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ballari and Barrios Garcia 2014 Mammal Review","Hindgut Colon",1,"Inferred from Family",2,"Trait assumed similar to Sus scrofa. Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"Trait assumed similar to Sus scrofa. ","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Trait assumed similar to Sus scrofa. An extreme generalist of forests, scrublands, agricultural landscapes, river systems, and mountains. It apparently reaches high densities in oak forests, as it feeds on mast. No indication of significant aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"494","Sus cebifrons","Visayan Warty Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",32500,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",1,3,2,"Browser","Omnivore","Observed low sample size (1-5) evidence",1,"Very rare and elusive in the wild. Some scats and foraging sign indicates that they consume browse and fruits, as well as carrion and small animals.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This species formerly occurred from sea level to 1600 m, but with the loss of lower elvatio forests, they are now confined to the few remaining forested habitats at around 800 m. Require dense cover. No evidence of aquatic habitat use.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"495","Sus celebensis","Sulawesi Warty Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",55000,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",1,3,2,"Browser","Omnivore","Observed low sample size (1-5) evidence",1,"Sulawesi warty pigs consume a variety of roots, fallen fruit, leaves, and shoots, supplemented with invertebrates and small vertebrates, and carrion. No quantitative studies known. Wilson and Mittermeier mention an observation of them consuming grasses, noting that this is unlike babirusas.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A habitat generalist occurring in rainforests, grasslands, swamps, and agricultural areas. Will show up in high elevation 'moss forests', but prefers valleys. No evidence of aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"496","Sus oliveri","Oliver's Warty Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",44801.2,"Extant species (method unknown, presume measured)",1,"Comparison species is Sus cebifrons","Faurby et al. 2018 Ecology",1,3,2,"Browser","Omnivore","Imputed",0,"No empirical evidence found.","","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed low sample size (1-5) habitat use; Inferred from absence of evidence",1,"Little is known about this species, but have been observed thick forest thickets.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"497","Sus philippensis","Philippine Warty Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",44253.5,"Extant species (method unknown, presume measured)",1,"Comparison species is Sus cebifrons","Faurby et al. 2018 Ecology",1,3,2,"Browser","Omnivore","Imputed",0,"No empirical evidence found.","","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"Formerly abundant across habitat types, this species now occurs primarily in remote forests, including montane forests. Formerly in lowland rainforests. No indication of aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"498","Sus scrofa","Wild Boar","Extant",0,"Mammalia","Cetartiodactyla","Suidae",101052.1,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",1,3,2,"Browser","Omnivore","Observed fecal analysis; Observed foraging",3,"Wild boar consume almost anything: browse, nuts, seeds, fruit, carrion, animals, tubers, roots, and some grass.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Ballari and Barrios Garcia 2014 Mammal Review","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"An extreme generalist of forests, scrublands, agricultural landscapes, river systems, and mountains. It apparently reaches high densities in oak forests, as it feeds on mast. No indication of significant aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"499","Sus verrucosus","Javan Warty Pig","Extant",0,"Mammalia","Cetartiodactyla","Suidae",92500,"Extant species (method unknown, presume measured)",0,"","Wilson and Mittermeier 2011 Handbook of the Mammals of the World",1,3,2,"Browser","Omnivore","Observed low sample size (1-5) evidence",1,"Formerly was considered conspecific with Sus scrofa (with whom they are sympatric) and now are rare and little studied. Diet was likely omnivorous with browse of roots, tubers, rhizomes, fruits, and other generalist food items.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Meijaard and Groves 2002 Asian Wild Pig News","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This species occurs in cultivatd landscapes, plantations, secondary forests, as well as mangrove forests, and swamp forests. No indication of significant aquatic habitat usage.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology"
"500","Sylvicapra grimmia","Common Duiker","Extant",0,"Mammalia","Cetartiodactyla","Bovidae",19499.8,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",1,3,1,"Browser","Browser","Observed fecal analysis; Proxy isotopes (C13)",3,"Codron et al. 2018 estimate, by compiling fecal analyses, that 12% of diet is composed of grass","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Djagoun et al. 2013 South African Journal of Wildlife Research; Codron et al. 2018 Ecology and Evolution","Foregut Ruminant",3,"Inferred from Family",2,"Ruminants possess complex foregut digestive systems that are highly efficient at breaking down cellulose and lignin. However, passage to the stomach and intestine, where nutrients are absorbed, is slowed by this very thorough process. This puts chokepoint on their food consumption rates, increases retention length, and increases their need for high-nutrient low-fiber food items. For example, a bovid requires higher nutrient and lower fiber food than a similar sized hindgut fermenting species.","Hume 2002 Acta Zoologica Sinica","Unguligrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"A savanna woodland duiker that nonetheless requires understorey cover in which to hide. No indication of wetland habitat use or arboreality.","Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Kingdon et al. 2013 Mammals of Africa"
"501","Sylviornis neocaledoniae","New Caledonian Giant Scrubfowl","Extinct before 1500 CE",0,"Aves","Pangalliformes","Sylviornithidae",34250,"Proxy allometric relationship (femur mid-shaft circumference)",2,"Estimate is the mean of the two mean values provided in the study using two different regressions. The sample on which these estimates are based consists of five specimens","HerbiTraits; Worthy et al. 2016 PLoS One",0,3,0,"Browser","Browser","Expert Opinion",0,"No empirical evidence found. Heinen et al. 2017 classify this species as a frugivore in their macroecological analysis, but do not indicate their source. On Wikipedia there is an uncited assertion that their beak morphology indicates a diet of underground plant parts and tubers.","Heinen et al. 2017 Ecography; Wikipedia 2020","Hindgut Caecum",1,"Inferred from Order",0,"These birds are likely stem-galliforms, so distantly related to chickens, grouses, turkeys, quails, etc (Worthy et al. 2016). In general, these species have hindgut cecums for fiber fermentation (Clench and Mathias 1995). This is most pronounced among grouse, who have well-developed hindgut caecums where they ferment the fibrous browse they consume (Remington 1989).","Worthy et al. 2016 PLoS One; Clench and Mathias 1995 Wilson Bulletin; Remington 1989 Journal of Experimental Zoology","Digitigrade","Observed Genus",3,"Other than the miharung, which was unguligrade, and loons and grebes, which are plantigrade, all other birds are digitigrade","Gill 2001 Ornithology",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"These birds were likely related to galliforms and may have been granivorous/frugivorous animals, likely foraging on forest floor. No indication of aquatic habit found.","Worthy et al. 2016 PLoS One; Clench and Mathias 1995 Wilson Bulletin; Remington 1989 Journal of Experimental Zoology"
