Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Aquatic,Substrate.Terrestrial,Substrate.Arboreal,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes,Island.Endemicity,IUCN.Status.1.2,Substrate.Cat,LogMassKg,LogMassKg.cat,LogMassKg.cat.label,GuildSimple,full.FE,simple.FE
Hoplophorus_euphractus,NA,yes,Cingulata,CingulataFam,280000,Reported,Ecological Archives E084-094 (2003),NA,NA,omnivore,3,0,2,Estimated Expert Species,"Dantas, M. A. T., & Cozzuol, M. A. (2016). The Brazilian Intertropical Fauna from 60 to About 10 ka B.P.: Taxonomy, Dating, Diet, and Paleoenvironments. In Marine Isotope Stage 3 in Southern South America, 60 KA B.P.-30 KA B.P. (pp. 207â€“226). Springer, Cham. https://doi.org/10.1007/978-3-319-40000-6_12","""""Grazer""""",Hindgut_unknown,Hindgut Colon,1,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",0,1,0,Inferred from absence of evidence,NA,Mouth,Inferred,Plantigrade,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.447158031,"(2.17,2.56]",L4,grazer,FOpl_LOl4_FEhi_SUte_GUgr,Ll4_Fhi_Ggr
Neosclerocalyptus_paskoenis,NA,yes,Cingulata,CingulataFam,2.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,2,0,Estimated Isotopes (C13) Genus,"de Melo Franca, L., de Asevedo, L., Dantas, M. A. T., Bocchiglieri, A., Avilla, L. dos S., Lopes, R. P., & da Silva, J. L. L. (2015). Review of feeding ecology data of Late Pleistocene mammalian herbivores from South America and discussions on niche differentiation. Earth-Science Reviews, 140, 158â€“165. https://doi.org/10.1016/J.EARSCIREV.2014.10.006","Strong indication of grazing preference, but a mixed feeder in closed canopy environments; data only given for genus. Reported as Sclerocalyptus",Hindgut_unknown,Hindgut Colon,1,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",0,1,0,Inferred from absence of evidence,NA,"Unique, unknown, proboscis?",Fernicola et al. 2012,Plantigrade,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.301029996,"(2.17,2.56]",L4,mixed feeder,FOpl_LOl4_FEhi_SUte_GUmi,Ll4_Fhi_Gmi
Neuryurus_trabeculatus,NA,yes,Cingulata,CingulataFam,311000,Reported,Ameghiniana 48: 305-319 (2011),NA,NA,grazer,3,1,0,Estimated Craniodental Genus,"Vizcaino, S. F., Cassini, G. H., Fernicola, J. C., & Bargo, M. S. (2011). Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, Xenarthra). Ameghiniana, 48(3), 305-319.","""""bulk feeders in relatively open environments""""; note that this craniodental material is listed as cf. Neuryurus",Hindgut_unknown,Hindgut Colon,1,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",0,1,0,Inferred from absence of evidence,NA,Mouth,NA,Plantigrade,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.492760389,"(2.17,2.56]",L4,grazer,FOpl_LOl4_FEhi_SUte_GUgr,Ll4_Fhi_Ggr
Pampatherium_humboldti,NA,yes,Cingulata,CingulataFam,150000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Craniodental Species,"De Iuliis, G., Bargo, M. S., & Vizcaino, S. F. (2000). Variation in skull morphology and mastication in the fossil giant armadillos Pampatherium spp. and allied genera (Mammalia: Xenarthra: Pampatheriidae), with comments on their systematics and distribution. Journal of Vertebrate Paleontology, 20(4), 743â€“754. https://doi.org/10.1671/0272-4634(2000)020[0743:VISMAM]2.0.CO;2","""""Grazer""""",Hindgut_unknown,Hindgut Colon,1,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",0,1,0,Inferred from absence of evidence,NA,Mouth,NA,Plantigrade,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,Digging/burrowing,Morphology,,Lopes et al. 2016 Ichnos,NA,Occurs on mainland,EP,terrestrial,2.176091259,"(2.17,2.56]",L4,grazer,FOpl_LOl4_FEhi_SUte_GUgr,Ll4_Fhi_Ggr
Pampatherium_typum,NA,yes,Cingulata,CingulataFam,2.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Craniodental Species,"De Iuliis, G., Bargo, M. S., & Vizcaino, S. F. (2000). Variation in skull morphology and mastication in the fossil giant armadillos Pampatherium spp. and allied genera (Mammalia: Xenarthra: Pampatheriidae), with comments on their systematics and distribution. Journal of Vertebrate Paleontology, 20(4), 743â€“754. https://doi.org/10.1671/0272-4634(2000)020[0743:VISMAM]2.0.CO;2","""""Grazer""""",Hindgut_unknown,Hindgut Colon,1,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",0,1,0,Inferred from absence of evidence,NA,Mouth,NA,Plantigrade,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,Digging/burrowing,Morphology,,Lopes et al. 2016 Ichnos,NA,Occurs on mainland,EP,terrestrial,2.301029996,"(2.17,2.56]",L4,grazer,FOpl_LOl4_FEhi_SUte_GUgr,Ll4_Fhi_Ggr
Panochthus_tuberculatus,NA,yes,Cingulata,CingulataFam,1061000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Craniodental Species,"Vizcaino, S. F., Cassini, G. H., Fernicola, J. C., & Bargo, M. S. (2011). Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, Xenarthra). Ameghiniana, 48(3), 305-319.","""""bulk feeder in open environments""""",Hindgut_unknown,Hindgut Colon,1,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",0,1,0,Inferred from absence of evidence,NA,Mouth,NA,Plantigrade,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,3.025715384,"(2.95,3.34]",L6,grazer,FOpl_LOl6_FEhi_SUte_GUgr,Ll6_Fhi_Ggr
Propraopus_punctatus,NA,yes,Cingulata,CingulataFam,27250,As relative of suggested similar size,Based on Journal of Vertebrate Paleontology 28: 197-207 (2008) all four species of similar size,Mean of Dasypus_bellus and Dasypus_kappleri,NA,omnivore,2,2,3,Imputed,NA,NA,Simple Gut,Simple Gut,0,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs",0,1,0,Inferred from absence of evidence,NA,Mouth,NA,Plantigrade,soft,,Superina and Loughry 2011,0,0,0,0,NA,NA,NA,Digging/burrowing,Morphology,,Fariña and Vizcaino 1997,,Occurs on mainland,EP,terrestrial,1.435366507,"(1.39,1.78]",L2,mixed feeder,FOpl_LOl2_FEsg_SUte_GUmi,Ll2_Fsg_Gmi
Propraopus_sulcatus,NA,yes,Cingulata,CingulataFam,27250,As relative of suggested similar size,Based on Journal of Vertebrate Paleontology 28: 197-207 (2008) all four species of similar size,Mean of Dasypus_bellus and Dasypus_kappleri,NA,omnivore,2,2,3,Imputed,NA,NA,Simple Gut,Simple Gut,0,Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs",0,1,0,Inferred from absence of evidence,NA,Mouth,NA,Plantigrade,soft,,Superina and Loughry 2011,0,0,0,0,NA,NA,NA,Digging/burrowing,Morphology,,Fariña and Vizcaino 1997,,Occurs on mainland,EP,terrestrial,1.435366507,"(1.39,1.78]",L2,mixed feeder,FOpl_LOl2_FEsg_SUte_GUmi,Ll2_Fsg_Gmi
Diprotodon_optatum,NA,yes,Diprotodontia,Diprotodontidae,2700000,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,mixed feeder,3,3,0,Estimated Isotopes (C13+018) Species,"Price, G. J., Ferguson, K. J., Webb, G. E., Feng, Y.-X., Higgins, P., Nguyen, A. D., â€_ Louys, J. (2017). Seasonal migration of marsupial megafauna in Pleistocene Sahul (Australia-New Guinea). Proceedings. Biological Sciences, 284(1863), 20170785. https://doi.org/10.1098/rspb.2017.0785",they also do Sr87,Hindgut_unknown,Hindgut Colon,1,Extrapolated from extant relatives,Dawson 2006,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters",0,1,0,https://australianmuseum.net.au/diprotodon-optatum,"Open, flat terrain. Apparently absent from hilly/rocky terrain",Mouth,https://australianmuseum.net.au/diprotodon-optatum,Plantigrade,soft,,https://australianmuseum.net.au/diprotodon-optatum,NA,NA,NA,NA,Gregarious,Likely migrated in 'mobs',Higgins et al. 2017,,,,,200km annual migrations (Higgins et al. 2017),Occurs on mainland,EP,terrestrial,3.431363764,"(3.34,3.72]",L7,mixed feeder,FOpl_LOl7_FEhi_SUte_GUmi,Ll7_Fhi_Gmi
Maokopia_ronaldi,NA,yes,Diprotodontia,Diprotodontidae,1.00E+05,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,grazer,3,0,0,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Flannery (1999) argues that this taxa is a grazer due to morphology and habitat associated with fossil remains. 0 given to browse to be conservative,Hindgut_unknown,Hindgut Colon,1,Extrapolated from extant relatives,inferred from Dawson 2006,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters",0,1,0,Inferred from Flannery 1999,NA,Mouth,NA,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on large land bridge islands,EP,terrestrial,2,"(1.78,2.17]",L3,grazer,FOpl_LOl3_FEhi_SUte_GUgr,Ll3_Fhi_Ggr
Palorchestes_azeal,NA,yes,Diprotodontia,Diprotodontidae,5.00E+05,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,browser,0,3,0,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857",Species,Hindgut_unknown,Hindgut Colon,1,Extrapolated from extant relatives,Dawson 2006,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters",0,1,0,https://australianmuseum.net.au/palorchestes-azeal,Forest,Proboscis/giraffe-like tongue/scansorial and fossorial arms,https://australianmuseum.net.au/palorchestes-azeal,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,2,NA,NA,NA,rooting,,,Johnson & Prideaux 2004,NA,Occurs on mainland,EP,terrestrial,2.698970004,"(2.56,2.95]",L5,browser,FOpl_LOl5_FEhi_SUte_GUbr,Ll5_Fhi_Gbr
Zygomaturus_trilobus,NA,yes,Diprotodontia,Diprotodontidae,5.00E+05,Reported,Johnson C Australia‰Û¡Ì_åÁÌÎÌùÌ´åÈs Mammal Extinctions. A 50000 year History (2007),NA,NA,mixed feeder,3,3,0,Estimated Isotopes (C13 + 018) + Dental wear (microwear) Genus,"DeSantis, L. R. G., Field, J. H., Wroe, S., & Dodson, J. R. (2017). Dietary responses of Sahul (Pleistocene Australiaâ€“New Guinea) megafauna to climate and environmental change. Paleobiology, 43(02), 181â€“195. https://doi.org/10.1017/pab.2016.50; McNamara, K., & Murray, P. (2010).Â Prehistoric Mammals. Western Australian Museum.; Butler, K., Louys, J., & Travouillon, K. (2014). Extending dental mesowear analyses to Australian marsupials, with applications to six Plio-Pleistocene kangaroos from southeast Queensland. Palaeogeography, Palaeoclimatology, Palaeoecology, 408, 11â€“25. https://doi.org/10.1016/J.PALAEO.2014.04.024","Similar diet as Diprotodon, inferred by morphology and habit to have similar rooting habits as pigs",Hindgut_unknown,Hindgut Colon,1,Extrapolated from extant relatives,inferred from Dawson 2006,"Not clear how author determined this, but Vombatidae and Phascolarctidae are both hindgut fermenters",1,1,0,"Flannery 1990, McNamara & Murray 2010 Prehistoric Mammals, https://en.m.wikipedia.org/wiki/Zygomaturus",Forest,Speculation of proboscis or piglike snout,"McNamara & Murray 2010 Prehistoric Mammals, https://en.m.wikipedia.org/wiki/Zygomaturus",Plantigrade,soft,,Reported morphology Family,NA,NA,NA,2,NA,NA,NA,rooting,,Likely rooted like pigs,DeSantis et al. 2017,,Occurs on mainland,EP,semi.aquatic,2.698970004,"(2.56,2.95]",L5,mixed feeder,FOpl_LOl5_FEhi_SUaq_GUmi,Ll5_Fhi_Gmi
Dendrolagus_bennettianus,NA,yes,Diprotodontia,Macropodidae,10950,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,1,37,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,0,1,0,0,Solitary/pairs,NA,37,,,,,NA,Occurs on mainland,NT,semi.arboreal,1.039414119,"[1,1.39]",L1,browser,FOpl_LOl1_FEfo_SUar_GUbr,Ll1_Ffo_Gbr
Dendrolagus_dorianus,NA,yes,Diprotodontia,Macropodidae,10068.3,Reported,"Tree Kangaroos A curoius Natural History. Flannery TF, Martin R, Szalay A (1996)",NA,NA,browser,0,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,1,37,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,0,0,0,0,Solitary/pairs,"Uncertain, based on captive animals",37,,,,,NA,Occurs on large land bridge islands,VU,semi.arboreal,1.002956148,"[1,1.39]",L1,browser,FOpl_LOl1_FEfo_SUar_GUbr,Ll1_Ffo_Gbr
Dendrolagus_inustus,NA,yes,Diprotodontia,Macropodidae,13031.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,1,37,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,0,2,0,0,Solitary/pairs,NA,37,,,,,NA,Occurs on large land bridge islands,VU,semi.arboreal,1.114987743,"[1,1.39]",L1,browser,FOpl_LOl1_FEfo_SUar_GUbr,Ll1_Ffo_Gbr
Dendrolagus_scottae,NA,yes,Diprotodontia,Macropodidae,10375,Reported,Records of the Australian Museum 45: 33-42 (1993),NA,NA,browser,0,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,1,37,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,0,0,0,0,Solitary/pairs,NA,37,,,,,NA,Occurs on large land bridge islands,CR,semi.arboreal,1.015988105,"[1,1.39]",L1,browser,FOpl_LOl1_FEfo_SUar_GUbr,Ll1_Ffo_Gbr
Dendrolagus_ursinus,NA,yes,Diprotodontia,Macropodidae,13250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,1,EltonTraits1.0,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,0,2,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA,Occurs on large land bridge islands,VU,semi.arboreal,1.122215878,"[1,1.39]",L1,browser,FOpl_LOl1_FEfo_SUar_GUbr,Ll1_Ffo_Gbr
Macropus_agilis,NA,yes,Diprotodontia,Macropodidae,15000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,0,37,NA,NA,NA,Digitigrade,soft,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )",Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B,2,2,0,2,Solitary/pairs,"Source says, the species is sometimes observed in small groups, though primary solitary",37,rooting,,,37,NA,Occurs on mainland,LC,terrestrial,1.176091259,"[1,1.39]",L1,mixed feeder,FOpl_LOl1_FEfo_SUte_GUmi,Ll1_Ffo_Gmi
Macropus_antilopinus,NA,yes,Diprotodontia,Macropodidae,27250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,0,37,NA,NA,NA,Digitigrade,soft,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )",Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B,0,0,0,0,Gregarious,NA,37,,,,,NA,Occurs on mainland,LC,terrestrial,1.435366507,"(1.39,1.78]",L2,grazer,FOpl_LOl2_FEfo_SUte_GUgr,Ll2_Ffo_Ggr
Macropus_bernardus,NA,yes,Diprotodontia,Macropodidae,17000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,0,37,NA,NA,NA,Digitigrade,soft,,Reported morphology Family,2,2,0,0,Solitary/pairs,NA,37,,,,,NA,Occurs on mainland,NT,terrestrial,1.230448921,"[1,1.39]",L1,mixed feeder,FOpl_LOl1_FEfo_SUte_GUmi,Ll1_Ffo_Gmi
Macropus_dorsalis,NA,yes,Diprotodontia,Macropodidae,11250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,0,37,NA,NA,NA,Digitigrade,soft,,Reported morphology Family,1,1,0,0,Gregarious,NA,37,,,,,NA,Occurs on mainland,LC,terrestrial,1.051152522,"[1,1.39]",L1,grazer,FOpl_LOl1_FEfo_SUte_GUgr,Ll1_Ffo_Ggr
Macropus_ferragus,NA,yes,Diprotodontia,Macropodidae,150000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857","""""grazer""""",Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,extrapolated based on extant relatives,NA,0,1,0,Flannery 1990,Savanna,NA,NA,Digitigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.176091259,"(2.17,2.56]",L4,grazer,FOpl_LOl4_FEfo_SUte_GUgr,Ll4_Ffo_Ggr
Macropus_fuliginosus,NA,yes,Diprotodontia,Macropodidae,22000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,0,37,NA,NA,NA,Digitigrade,soft,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )",Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B,0,0,0,0,Gregarious,NA,37,,,,,NA,Occurs on mainland,LC,terrestrial,1.342422681,"[1,1.39]",L1,grazer,FOpl_LOl1_FEfo_SUte_GUgr,Ll1_Ffo_Ggr
Macropus_giganteus,NA,yes,Diprotodontia,Macropodidae,25875,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,37,NA,Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,"2,4",NA,0,1,0,37,NA,NA,NA,Digitigrade,soft,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )",Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B,0,0,0,0,Gregarious,NA,37,,,,,NA,Occurs on mainland,LC,terrestrial,1.412880358,"(1.39,1.78]",L2,grazer,FOpl_LOl2_FEfo_SUte_GUgr,Ll2_Ffo_Ggr
Macropus_greyi,NA,yes,Diprotodontia,Macropodidae,10000,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,3,0,Estimated Expert Species,"Johnson, C. N., & Prideaux, G. J. (2004). Extinctions of herbivorous mammals in the late Pleistocene of Australia in relation to their feeding ecology: No evidence for environmental change as cause of extinction. Austral Ecology, 29, 553â€“557. Retrieved from https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1442-9993.2004.01389.x;ï»¿ Lyndall, D. (2006). An ecophysiological approach to the extinction of large marsupial herbivores in middle and late Pleistocene Australia. Alcheringa, 30, 81â€“114. https://doi.org/10.1080/03115510609506857","Summary paper, unclear how diets are estimated",Foregut Non_ruminating,Foregut Non_ruminating,2,Reported Family,extrapolated based on extant relatives,NA,0,1,0,EltonTraits1.0,unreported,NA,NA,Digitigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EX,terrestrial,1,"[1,1.39]",L1,mixed feeder,FOpl_LOl1_FEfo_SUte_GUmi,Ll1_Ffo_Gmi
